instanceNumber,instanceUUID,expositionEventLineCount,syntaxErrors,syntaxErrorRate,conversionErrors,conversionErrorRate,structuralErrors,structuralErrorRate,totalErrors,totalErrorRate,warningCount,errorCount
193,6eaae411-7654-40dd-b0c9-154d7c508deb,1422,1,0.0703,2,0.1406,0,0,3,0.2110,0,1
214,9d841aed-f819-46c9-b0bf-4b39913aa379,1709,6,0.3511,5,0.2926,0,0,11,0.6437,6,0
259,2e50da38-4050-48a3-9988-af7740a3576c,1426,1,0.0701,1,0.0701,1,0.0701,3,0.2104,1,0
260,fa93607b-91b6-4829-a30a-38ce857c98e0,238,3,1.2605,0,0,0,0,3,1.2605,1,2
262,48e76358-031e-4362-be2e-b45ba3d46a15,788,13,1.6497,4,0.5076,0,0,17,2.1574,7,5
266,563fd2c1-7004-4d72-bcbe-8fa61638765e,226,1,0.4425,0,0,0,0,1,0.4425,0,1
361,683a7c77-4cfa-452d-a3f8-5223054dc95e,192,1,0.5208,0,0,0,0,1,0.5208,0,1
377,ed48d3b0-68ff-4ca9-98f0-29cef0f8a935,1503,1,0.0665,1,0.0665,1,0.0665,3,0.1996,0,1
378,a14acf30-2380-48c6-b9cb-1db0b7d0991b,85,0,0,0,0,0,0,0,0,0,0
384,463b4eba-2b84-47db-a44d-51abbbcd9774,354,2,0.5650,0,0,0,0,2,0.5650,0,2
424,39190877-f633-4e92-885b-475bc0437bff,85,0,0,0,0,0,0,0,0,0,0
449,d890c998-fa2e-4c0d-ab6c-5d139bdfbf1e,136,0,0,0,0,0,0,0,0,0,0
457,23364b56-8329-4846-b577-a4e0c3a361b9,558,2,0.3584,1,0.1792,0,0,3,0.5376,0,2
460,dbe63fde-b9fb-4f6a-8800-8ce2f0bb0c4e,454,0,0,1,0.2203,1,0.2203,2,0.4405,0,0
461,868fbb3e-6893-475c-b356-a1560eaee34e,157,1,0.6369,0,0,0,0,1,0.6369,0,1
558,f229f768-8398-4682-ba3a-d89e8b368dcf,2357,1,0.0424,0,0,0,0,1,0.0424,1,0
559,bdbfcd92-4826-4f6e-94be-f4ada972431b,714,2,0.2801,2,0.2801,1,0.1401,5,0.7003,0,2
561,4bfe37d8-a49f-40fc-aba4-0faeafa7dee0,2786,1,0.0359,5,0.1795,5,0.1795,11,0.3948,1,0
664,5a5f679b-8a8b-42c4-bdfc-590f0ef8f3bc,309,0,0,1,0.3236,1,0.3236,2,0.6472,0,0
665,69a2b8a4-0f4d-4979-b1eb-49a3a275bf6d,489,5,1.0225,1,0.2045,1,0.2045,7,1.4315,3,2
694,7763b5e0-b096-4922-a391-1a571022ec0a,233,0,0,0,0,0,0,0,0,0,0
845,3e0e6a88-c6fd-4111-ae10-b9cbab835942,441,3,0.6803,0,0,0,0,3,0.6803,0,3
849,9402007c-03ae-49b5-a84a-6fa33844bdc9,1458,9,0.6173,0,0,0,0,9,0.6173,7,2
850,e7b5f2a1-594e-4e8d-a0e1-1e7248847acf,469,1,0.2132,0,0,0,0,1,0.2132,1,0
852,e51f9c86-cb83-434b-856f-b3f9bd6d150c,306,2,0.6536,0,0,0,0,2,0.6536,0,2
853,74122697-e69f-44b3-b76c-b72c45260fee,2144,8,0.3731,4,0.1866,3,0.1399,15,0.6996,4,4
860,d0ccdd9b-910c-41a6-869f-55741de51f6e,213,1,0.4695,0,0,0,0,1,0.4695,1,0
