source_file,cpee_instance,concept_instance,last_res_timestamp,0,1,2,3,4,5,6,7,8,At which **pipeline stage** does the error _FIRST_ appear?,feedback_0,"How experienced are you with **debugging** or **reading structured logs** (e.g. JSON, YAML, XML)?",How familiar are you with **Mermaid Diagram Syntax**? [select_2_2],How familiar are you with **Mermaid Diagram Syntax**? [select_2],How familiar are you with the **CPEE process engine**?,How many years of modelling experience do you have?,How many years of programming experience do you have?,"How often do you use **LLM based tools** (e.g. ChatGPT, Copilot)?",input_0,input_1,input_2,Rate your experience with **process modelling**:,select_0,select_1,select_2,select_2_2,select_3,select_4,Were you able to **confidentially identify the error**?,What best describes you **current role**?,What is the **nature** of the error,What is the most likely **cause** for the error?,"Which graphical modeling languages are you familiar with (e.g., UML, ER, etc.)?"
date_2026_03_31_time_21_34.xes.yaml,88dba5ae-724b-41a7-b49d-831c54c6b2ca,8654,2026-04-07T00:48:36.012732+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_07_time_00_49.xes.yaml,4515d97a-a67a-49ad-ba75-3d7b39fdae82,8764,2026-04-07T00:49:41.343254+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_07_time_00_50.xes.yaml,f71fae8b-54e3-4412-b5be-cf53abdc5b7d,8765,2026-04-07T00:55:43.941214+02:00,{},{},{},{},"{""buttons_0"":{""Input CPEE"":true,""Input Mermaid"":true,""Output Mermaid"":false,""Output CPEE"":false,""Unsure"":false}}","{""buttons_1"":{""Syntax Error"":false,""Conversion Error"":true,""Structural Error"":true,""Unsure"":false}}","{""buttons_2"":{""The LLM generated wrong Mermaid Syntax"":false,""There is a problem with soundness or reachability"":true,""The CPEE-Mermaid conversion introduced or dropped components"":true,""Unsure"":false}}",{},"{""feedback_0"":""""}",,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_07_time_00_52.xes.yaml,e248294a-1eb3-411b-8e12-939e36995a75,8766,2026-04-07T00:53:47.870003+02:00,,,,,,,,,,Input CPEE,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_07_time_00_53.xes.yaml,c344f925-afa8-49b4-a0c3-c33b59425385,8767,2026-04-07T00:55:43.870335+02:00,,,,,,,,,,Input CPEE; Input Mermaid,,,,,,,,,,,,,,,,,,,,,Conversion Error; Structural Error,There is a problem with soundness or reachability; The CPEE-Mermaid conversion introduced or dropped components,
date_2026_04_07_time_00_55.xes.yaml,e00e82df-eee3-4d3a-a45d-b043e158c5f5,8768,2026-04-07T00:56:32.936474+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_07_time_00_57.xes.yaml,04bc7b08-b5db-42bd-9975-5ce3aa612c7e,8769,2026-04-07T00:57:13.234810+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_07_time_01_06.xes.yaml,305409c4-6a34-4e47-adca-0382e6cdac7d,8772,2026-04-07T01:06:50.633984+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_07_time_01_08.xes.yaml,f9761c0f-b475-4d4f-a4d0-87772e87c41e,8776,2026-04-07T01:08:34.841403+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_07_time_01_09.xes.yaml,366652d6-f730-417d-9c79-3a8fb1546676,8779,2026-04-07T01:09:40.610468+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_07_time_01_10.xes.yaml,eaac83cf-62c9-487a-815a-8f367967114f,8781,2026-04-07T01:11:02.960971+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_07_time_01_11.xes.yaml,edfc33eb-b6e3-4c19-b70f-e58cd2747986,8782,2026-04-07T01:11:09.529395+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_07_time_01_12.xes.yaml,436caf4c-5f11-4d35-b96e-370339afbba1,8784,2026-04-07T01:17:35.747033+02:00,{},{},{},{},"{""buttons_0"":{""Input CPEE"":false,""Input Mermaid"":false,""Output Mermaid"":true,""Output CPEE"":true,""Unsure"":false}}","{""buttons_1"":{""Syntax Error"":false,""Conversion Error"":true,""Structural Error"":false,""Unsure"":false}}","{""buttons_2"":{""The LLM generated wrong Mermaid Syntax"":false,""There is a problem with soundness or reachability"":false,""The CPEE-Mermaid conversion introduced or dropped components"":true,""Unsure"":false}}",{},"{""feedback_0"":""""}",,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_07_time_01_14.xes.yaml,395ebf61-88ab-4f90-9d34-9ca19e6aaf41,8786,2026-04-07T01:15:48.027984+02:00,,,,,,,,,,Input Mermaid,,,,,,,,,,,,,,,,,,,,,Structural Error,There is a problem with soundness or reachability,
date_2026_04_07_time_01_15.xes.yaml,8cd43b06-0414-41b8-bbbb-5c91f372bc0e,8787,2026-04-07T01:17:35.683151+02:00,,,,,,,,,,Output Mermaid; Output CPEE,,,,,,,,,,,,,,,,,,,,,Conversion Error,The CPEE-Mermaid conversion introduced or dropped components,
date_2026_04_08_time_11_17.xes.yaml,863e4f47-6e75-4b00-8e03-0e891c102735,8806,2026-04-08T11:18:02.879193+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_20.xes.yaml,a3b36dd8-1a5b-4d3a-a333-d711e9935b43,8808,2026-04-08T11:22:12.501458+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_22.xes.yaml,c1c25d27-e24a-4c07-99fa-4935ee1c5769,8809,2026-04-08T11:22:29.282007+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date_2026_04_08_time_11_26.xes.yaml,195c0c96-8a28-46b5-b036-3d0ef3b38428,8813,2026-04-08T11:27:49.790728+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
